Loading base network...
Initializing weights...
Loading Dataset...
Training SSD_mobilenet ssd_new_mobilenet_FFA on Oxford hand dataset with multibox loss
Data augmentaion: v2
Timer: 3.3360 sec.
iter 17600 || lr: 0.001000  || loc_loss: 5.1701  || cls_loss: 1.9893  Timer: 0.0703 sec.
iter 17700 || lr: 0.001000  || loc_loss: 4.8588  || cls_loss: 2.1263  Timer: 0.0678 sec.
iter 17800 || lr: 0.001000  || loc_loss: 3.6235  || cls_loss: 1.9776  Timer: 0.0751 sec.
iter 17900 || lr: 0.001000  || loc_loss: 4.0053  || cls_loss: 1.8179  Timer: 0.0706 sec.
iter 18000 || lr: 0.001000  || loc_loss: 6.2532  || cls_loss: 2.1394  Timer: 0.0630 sec.
iter 18100 || lr: 0.001000  || loc_loss: 4.9021  || cls_loss: 1.9996  Timer: 0.0666 sec.
iter 18200 || lr: 0.001000  || loc_loss: 4.0418  || cls_loss: 1.9223  Timer: 0.0646 sec.
iter 18300 || lr: 0.001000  || loc_loss: 4.2520  || cls_loss: 1.9651  Timer: 0.0722 sec.
iter 18400 || lr: 0.001000  || loc_loss: 5.9771  || cls_loss: 2.0407  Timer: 0.0674 sec.
iter 18500 || lr: 0.001000  || loc_loss: 5.6913  || cls_loss: 2.1521  Timer: 0.0749 sec.
iter 18600 || lr: 0.001000  || loc_loss: 5.7515  || cls_loss: 2.0077  Timer: 0.0797 sec.
iter 18700 || lr: 0.001000  || loc_loss: 6.7232  || cls_loss: 2.4156  Timer: 0.0675 sec.
iter 18800 || lr: 0.001000  || loc_loss: 5.5516  || cls_loss: 2.0679  Timer: 0.0695 sec.
iter 18900 || lr: 0.001000  || loc_loss: 4.1618  || cls_loss: 1.7964  Timer: 0.0643 sec.
iter 19000 || lr: 0.001000  || loc_loss: 4.0340  || cls_loss: 1.7927  Timer: 0.0666 sec.
iter 19100 || lr: 0.001000  || loc_loss: 5.7848  || cls_loss: 2.1738  Timer: 0.0685 sec.
iter 19200 || lr: 0.001000  || loc_loss: 4.5451  || cls_loss: 2.0231  Timer: 0.0583 sec.
iter 19300 || lr: 0.001000  || loc_loss: 6.4709  || cls_loss: 2.0525  Timer: 0.0667 sec.
iter 19400 || lr: 0.001000  || loc_loss: 6.7845  || cls_loss: 2.0425  Timer: 0.0885 sec.
iter 19500 || lr: 0.001000  || loc_loss: 5.6205  || cls_loss: 1.8842  Timer: 0.0631 sec.
iter 19600 || lr: 0.001000  || loc_loss: 4.8264  || cls_loss: 1.9248  Timer: 0.0650 sec.
iter 19700 || lr: 0.001000  || loc_loss: 4.8689  || cls_loss: 1.9083  Timer: 0.0653 sec.
iter 19800 || lr: 0.001000  || loc_loss: 5.5264  || cls_loss: 2.0983  Timer: 0.0682 sec.
iter 19900 || lr: 0.001000  || loc_loss: 5.9316  || cls_loss: 2.1252  Timer: 0.0679 sec.
iter 20000 || lr: 0.001000  || loc_loss: 6.1784  || cls_loss: 2.2012  Saving state, iter: 20000
Timer: 0.0814 sec.
iter 20100 || lr: 0.001000  || loc_loss: 3.3424  || cls_loss: 1.7081  Timer: 0.0624 sec.
iter 20200 || lr: 0.001000  || loc_loss: 5.7180  || cls_loss: 2.0059  Timer: 0.0624 sec.
iter 20300 || lr: 0.001000  || loc_loss: 4.3865  || cls_loss: 1.8939  Timer: 0.0653 sec.
iter 20400 || lr: 0.001000  || loc_loss: 3.9266  || cls_loss: 2.0691  Timer: 0.0661 sec.
iter 20500 || lr: 0.001000  || loc_loss: 5.0833  || cls_loss: 2.0151  Timer: 0.0753 sec.
iter 20600 || lr: 0.001000  || loc_loss: 5.5168  || cls_loss: 1.9213  Timer: 0.0718 sec.
iter 20700 || lr: 0.001000  || loc_loss: 4.7492  || cls_loss: 1.8880  Timer: 0.0671 sec.
iter 20800 || lr: 0.001000  || loc_loss: 3.8723  || cls_loss: 1.7460  Timer: 0.0668 sec.
iter 20900 || lr: 0.001000  || loc_loss: 4.8199  || cls_loss: 1.8874  Timer: 0.0642 sec.
iter 21000 || lr: 0.001000  || loc_loss: 4.9232  || cls_loss: 2.1612  Timer: 0.0704 sec.
iter 21100 || lr: 0.001000  || loc_loss: 4.0731  || cls_loss: 1.8953  Timer: 0.0783 sec.
iter 21200 || lr: 0.001000  || loc_loss: 4.6091  || cls_loss: 2.2258  Timer: 0.0709 sec.
iter 21300 || lr: 0.001000  || loc_loss: 3.8658  || cls_loss: 1.9768  Timer: 0.0685 sec.
iter 21400 || lr: 0.001000  || loc_loss: 3.8226  || cls_loss: 1.9180  Timer: 0.0786 sec.
iter 21500 || lr: 0.001000  || loc_loss: 6.6523  || cls_loss: 1.8815  Timer: 0.0661 sec.
iter 21600 || lr: 0.001000  || loc_loss: 5.2821  || cls_loss: 2.2914  Timer: 0.0712 sec.
iter 21700 || lr: 0.001000  || loc_loss: 7.3155  || cls_loss: 2.2390  Timer: 0.0860 sec.
iter 21800 || lr: 0.001000  || loc_loss: 4.7635  || cls_loss: 2.1353  Timer: 0.0681 sec.
iter 21900 || lr: 0.001000  || loc_loss: 4.6069  || cls_loss: 1.8320  Timer: 0.0681 sec.
iter 22000 || lr: 0.001000  || loc_loss: 4.4790  || cls_loss: 1.9556  Timer: 0.0732 sec.
iter 22100 || lr: 0.001000  || loc_loss: 4.2270  || cls_loss: 1.8272  Timer: 0.0674 sec.
iter 22200 || lr: 0.001000  || loc_loss: 5.4545  || cls_loss: 2.1433  Timer: 0.0678 sec.
iter 22300 || lr: 0.001000  || loc_loss: 3.7726  || cls_loss: 1.6643  Timer: 0.0777 sec.
iter 22400 || lr: 0.001000  || loc_loss: 4.4965  || cls_loss: 1.9253  Timer: 0.0622 sec.
iter 22500 || lr: 0.001000  || loc_loss: 3.4924  || cls_loss: 1.8461  Timer: 0.0669 sec.
iter 22600 || lr: 0.001000  || loc_loss: 7.0144  || cls_loss: 2.2450  Timer: 0.0746 sec.
